fips,pct_snap,pct_old,pct_child,pct_white,pct_black,pct_hisp
05007,0.0800927984998,0.053088367899,0.13076468576,0.0801732178548,0.142986425339,0.125
05009,0.153820262538,0.0662592473464,0.261326329613,0.155097238563,,0.149253731343
05011,0.219703389831,0.151871657754,0.357707509881,0.157069846678,0.385640266469,0.0901960784314
05013,0.121241513094,0.104545454545,0.227828746177,0.0755191944619,0.285087719298,0.0
05015,0.138223868461,0.0899460323806,0.241163590866,0.137647171437,0.0,0.0951776649746
05017,0.271190211346,0.222058099458,0.396059782609,0.105662285137,0.412785774767,0.183783783784
05019,0.149403566789,0.0592999710732,0.333077513431,0.111545988258,0.252232142857,0.17619047619
05021,0.171347897162,0.0857874519846,0.354613466334,0.169300911854,,0.0
05023,0.100466381656,0.0564624543883,0.201550387597,0.0968809547688,,0.349206349206
05025,0.164525993884,0.0703479576399,0.255300353357,0.132832080201,0.391100702576,0.0
05027,0.217688505626,0.126853377265,0.335735342286,0.103578802478,0.41613278975,0.2
05029,0.173715651135,0.0828985507246,0.305398263496,0.164811945344,0.258823529412,0.167364016736
05031,0.158189123185,0.0813095731455,0.283946891973,0.119517910947,0.452128968742,0.195482189401
05033,0.143933588761,0.0786839986196,0.258572752549,0.144276101982,0.138181818182,0.185866408519
05035,0.223470114502,0.147826086957,0.377005720664,0.104589832791,0.351342206181,0.0679347826087
05037,0.17829119442,0.160398230088,0.2359893252,0.12700228833,0.35103626943,0.0921052631579
05039,0.164659843468,0.0723598435463,0.269182389937,0.0909090909091,0.254103742613,0.0
05041,0.280294231514,0.152453549309,0.425675675676,0.128154574132,0.430775316456,0.383561643836
05043,0.19417211329,0.143078712679,0.341595313204,0.115311909263,0.410005157298,0.125
05045,0.108858579276,0.0636778246278,0.177003107688,0.0873673064915,0.285899935023,0.142985611511
05047,0.161875276426,0.0968671227944,0.281661600811,0.158822627625,0.0943396226415,0.163461538462
05049,0.183923192771,0.132285276074,0.327561327561,0.185250391236,,0.0
05051,0.135595345571,0.0616098045711,0.272009229677,0.119735190047,0.321875,0.193143812709
05053,0.0912032950868,0.0803245436105,0.132119514472,0.0870367522682,0.157024793388,0.205882352941
05055,0.169476219145,0.0918452084371,0.276950672646,0.165822315581,0.309523809524,0.158974358974
05057,0.142205791744,0.0841201716738,0.263773584906,0.0995088229944,0.226530612245,0.130360205832
05059,0.14459133616,0.0855647271995,0.237784165142,0.13058121632,0.250962278676,0.0165975103734
05061,0.131760078663,0.0548455804047,0.238911886458,0.10119695321,0.226094727435,0.165048543689
05063,0.139812565082,0.0771084337349,0.247781865397,0.131310204968,0.465454545455,0.171153846154
05065,0.152934936351,0.0657620041754,0.260068259386,0.149234923492,1.0,0.0
05067,0.22633552015,0.15650052283,0.372757847534,0.208201892744,0.340218712029,0.6375
05069,0.208157820837,0.130613414867,0.361202495746,0.0945131620679,0.301846313873,0.14375
05071,0.155642023346,0.0738219895288,0.291463414634,0.155762240753,0.175925925926,0.145679012346
05073,0.227449593208,0.185496183206,0.348178137652,0.116676152533,0.416349809886,0.0833333333333
05075,0.17677224736,0.140538674033,0.284210526316,0.176131943364,0.0,0.196428571429
05077,0.384747706422,0.330926594465,0.544769085768,0.153312302839,0.580662393162,0.314285714286
05079,0.246483909416,0.148682559598,0.322180916976,0.198122065728,0.420086393089,0.398148148148
05081,0.118870444572,0.0841870824053,0.157029823494,0.0902293120638,0.17254528122,0.577981651376
05083,0.164237468894,0.103668704836,0.262241566921,0.164149043303,0.26724137931,0.0
05085,0.102299389958,0.0501190327027,0.171395030327,0.0980501872337,0.21551132464,0.137082601054
05087,0.133615084525,0.0866747671122,0.229573934837,0.135981151128,0.0,0.162162162162
05089,0.168836805556,0.109670728546,0.436690647482,0.171500818087,,0.282828282828
05091,0.174554467131,0.0915421195652,0.274872336679,0.117184915647,0.320319634703,0.182926829268
05093,0.241680242029,0.144821872411,0.364532816036,0.181925629603,0.337786913326,0.431870669746
05095,0.282454060462,0.214428857715,0.52453271028,0.14816700611,0.470758122744,0.2
05097,0.161028061894,0.0870659285355,0.395203336809,0.161334427126,0.0,0.0307692307692
05099,0.192992213571,0.12582345191,0.291841004184,0.133059548255,0.329710144928,0.475
05101,0.157202630006,0.0838287752675,0.29088639201,0.14686205798,,
05103,0.189011616835,0.112694877506,0.315526398001,0.131889136668,0.284833538841,0.258064516129
05105,0.133978604177,0.0785340314136,0.31391905232,0.126638699528,0.0,1.0
05107,0.329634543481,0.211811997526,0.509259259259,0.102556109726,0.472211115554,0.0588235294118
05109,0.146599264706,0.0673913043478,0.259580621837,0.130803794309,0.382857142857,0.277108433735
05111,0.233197337342,0.150336962157,0.40087219054,0.224291305895,0.319119669876,0.49504950495
05113,0.211033274956,0.127847761994,0.395061728395,0.206491251503,0.0,0.380434782609
05115,0.139269406393,0.08841778697,0.258992805755,0.135300536079,0.227951153324,0.264570552147
05117,0.166843220339,0.0824108241082,0.277276456112,0.145263157895,0.341067285383,0.0
05119,0.12760642565,0.0817192780021,0.223953797497,0.0608668341709,0.253014596996,0.128380528158
05121,0.198409433704,0.086791257523,0.315295169946,0.198729710656,0.0,0.302083333333
